,nr,year,school,exper,union,ethn,maried,health,wage,placa,industry,occupation,residence
103,209,1986,11,9,no,other,no,no,1.972603656,7.189370792,Trade,"Managers, Officials_and_Proprietors",north_east
104,209,1987,11,10,no,other,no,no,2.18698221,8.908289163,Entertainment,"Managers, Officials_and_Proprietors",north_east
105,212,1980,11,2,no,other,no,no,1.784471803,5.956432948,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
106,212,1981,11,3,no,other,no,no,2.179982771,8.846153846,Manufacturing,Operatives_and_kindred,north_east
107,212,1982,11,4,yes,other,no,no,1.963865384,7.126821794,Manufacturing,Operatives_and_kindred,north_east
108,212,1983,11,5,no,other,no,no,2.044932767,7.728638901,Manufacturing,Operatives_and_kindred,north_east
109,212,1984,11,6,no,other,no,no,2.012861311,7.484702797,Manufacturing,Clerical_and_kindred,north_east
110,212,1985,11,7,no,other,no,no,2.096985743,8.141592036,Manufacturing,Operatives_and_kindred,north_east
111,212,1986,11,8,no,other,yes,no,2.14396615,8.533214611,Manufacturing,Operatives_and_kindred,north_east
112,212,1987,11,9,yes,other,yes,no,2.241284366,9.405403514,Manufacturing,Operatives_and_kindred,north_east
113,218,1980,15,2,no,other,no,no,2.013313376,7.488087134,Professional_and_Related Service,"Professional, Technical_and_kindred",north_east
114,218,1981,15,3,no,other,no,no,1.962152455,7.114624506,Professional_and_Related Service,"Professional, Technical_and_kindred",north_east
115,218,1982,15,4,no,other,no,no,2.275641022,9.734156821,Professional_and_Related Service,Clerical_and_kindred,north_east
116,218,1983,15,5,no,other,yes,no,2.194917563,8.979260804,Business_and_Repair_Service,"Professional, Technical_and_kindred",north_east
117,218,1984,15,6,no,other,yes,no,2.428337298,11.34001134,Professional_and_Related Service,"Professional, Technical_and_kindred",north_east
118,218,1985,15,7,no,other,yes,no,2.723036943,15.2264941,Business_and_Repair_Service,Clerical_and_kindred,north_east
119,218,1986,15,8,no,other,yes,no,2.96639632,19.42180336,Business_and_Repair_Service,"Managers, Officials_and_Proprietors",north_east
120,218,1987,15,9,no,other,yes,no,3.065051729,21.4355708,Business_and_Repair_Service,"Managers, Officials_and_Proprietors",north_east
121,243,1980,12,4,no,other,no,no,1.564181321,4.778761062,Transportation,"Craftsmen, Foremen_and_kindred",north_east
122,243,1981,12,5,no,other,no,no,1.683545885,5.384615385,Transportation,"Managers, Officials_and_Proprietors",north_east
123,243,1982,12,6,no,other,no,yes,1.690503365,5.42220937,Public_Administration,"Managers, Officials_and_Proprietors",north_east
124,243,1983,12,7,no,other,yes,no,1.660871568,5.263896687,Public_Administration,"Managers, Officials_and_Proprietors",north_east
125,243,1984,12,8,no,other,yes,no,1.698050571,5.463286713,Public_Administration,"Managers, Officials_and_Proprietors",north_east
126,243,1985,12,9,no,other,yes,no,1.671768234,5.321569263,Public_Administration,"Managers, Officials_and_Proprietors",north_east
127,243,1986,12,10,no,other,yes,no,1.63571753,5.133139857,Public_Administration,"Managers, Officials_and_Proprietors",north_east
128,243,1987,12,11,no,other,yes,no,1.786970953,5.97133758,Transportation,"Managers, Officials_and_Proprietors",north_east
129,259,1980,12,3,yes,other,yes,no,2.107189577,8.225092777,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
130,259,1981,12,4,yes,other,yes,no,2.089010993,8.076923077,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
131,259,1982,12,5,yes,other,yes,no,2.042723959,7.711586659,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
132,259,1983,12,6,yes,other,yes,no,1.308155773,3.699344985,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
133,259,1984,12,7,no,other,yes,no,1.488152246,4.428904429,Manufacturing,Operatives_and_kindred,north_east
134,259,1985,12,8,no,other,yes,no,1.542818225,4.677754678,Construction,Operatives_and_kindred,north_east
135,259,1986,12,9,no,other,yes,no,1.535134721,4.641950857,Trade,"Craftsmen, Foremen_and_kindred",north_east
136,259,1987,12,10,no,other,yes,no,1.454335523,4.281637471,Trade,Operatives_and_kindred,north_east
137,260,1980,11,2,yes,other,no,no,1.629912042,5.10342581,Trade,Clerical_and_kindred,north_east
138,260,1981,11,3,yes,other,no,no,1.775113078,5.900948367,Trade,Laborers_and_farmers,north_east
139,260,1982,11,4,no,other,no,no,1.967256367,7.151029748,Manufacturing,Operatives_and_kindred,north_east
140,260,1983,11,5,no,other,yes,no,2.075186291,7.96603032,Manufacturing,"Professional, Technical_and_kindred",north_east
141,260,1984,11,6,no,other,yes,no,2.128833487,8.405056482,Manufacturing,"Professional, Technical_and_kindred",north_east
142,260,1985,11,7,no,other,yes,no,2.268419151,9.664111227,Manufacturing,"Professional, Technical_and_kindred",north_east
143,260,1986,11,8,no,other,yes,no,1.992139096,7.331199139,Manufacturing,Operatives_and_kindred,north_east
144,260,1987,11,9,no,other,yes,no,2.421554457,11.26335411,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
145,309,1980,12,3,no,other,no,no,1.786075653,5.965993835,Business_and_Repair_Service,Operatives_and_kindred,south
146,309,1981,12,4,no,other,no,no,2.280766046,9.784172662,Business_and_Repair_Service,Operatives_and_kindred,north_east
147,309,1982,12,5,no,other,no,no,2.264266229,9.62406015,Business_and_Repair_Service,Operatives_and_kindred,north_east
148,309,1983,12,6,no,other,yes,no,2.275456426,9.732360097,Business_and_Repair_Service,"Craftsmen, Foremen_and_kindred",north_east
149,309,1984,12,7,no,other,yes,no,2.208132424,9.098707983,Business_and_Repair_Service,Operatives_and_kindred,north_east
150,309,1985,12,8,no,other,yes,no,2.199852417,9.023681662,Business_and_Repair_Service,"Craftsmen, Foremen_and_kindred",north_east
151,309,1986,12,9,no,other,yes,yes,2.206899984,9.087501278,Business_and_Repair_Service,Operatives_and_kindred,north_east
152,309,1987,12,10,no,other,yes,no,2.476866911,11.90390992,Manufacturing,Operatives_and_kindred,north_east
153,351,1980,12,3,no,other,no,no,1.643386879,5.172659048,Finance,Clerical_and_kindred,north_east
154,351,1981,12,4,no,other,no,no,1.335580426,3.802202202,Finance,Clerical_and_kindred,north_east
155,351,1982,12,5,no,other,yes,yes,1.522817836,4.585127146,Finance,Clerical_and_kindred,north_east
156,351,1983,12,6,no,other,yes,no,1.418851363,4.132371117,Finance,Clerical_and_kindred,north_east
157,351,1984,12,7,no,other,yes,yes,0.903927473,2.46928213,Finance,Clerical_and_kindred,north_east
158,351,1985,12,8,no,other,yes,no,1.888564099,6.60987074,Transportation,Clerical_and_kindred,north_east
159,351,1986,12,9,no,other,yes,no,1.783449647,5.950347655,Professional_and_Related Service,"Professional, Technical_and_kindred",north_east
160,351,1987,12,10,no,other,yes,no,1.698008355,5.463056083,Professional_and_Related Service,"Professional, Technical_and_kindred",north_east
161,353,1980,12,3,no,other,no,no,1.838197203,6.285197104,Manufacturing,Operatives_and_kindred,north_east
162,353,1981,12,4,yes,other,no,no,1.817077277,6.153846154,Manufacturing,Operatives_and_kindred,north_east
163,353,1982,12,5,no,other,no,no,1.671740267,5.321420434,Trade,"Craftsmen, Foremen_and_kindred",north_east
164,353,1983,12,6,no,other,no,no,1.572830501,4.82027269,Manufacturing,Operatives_and_kindred,north_east
165,353,1984,12,7,no,other,no,no,1.682546384,5.379236149,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
166,353,1985,12,8,no,other,no,no,1.58364022,4.872661123,Construction,"Craftsmen, Foremen_and_kindred",north_east
167,353,1986,12,9,no,other,no,no,1.773293188,5.890219052,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
168,353,1987,12,10,no,other,no,no,1.861078925,6.430671239,Business_and_Repair_Service,"Craftsmen, Foremen_and_kindred",north_east
169,383,1980,12,2,no,black,no,no,1.462888179,4.318413887,Manufacturing,Operatives_and_kindred,north_east
170,383,1981,12,3,no,black,no,no,1.570217199,4.807692308,Manufacturing,Operatives_and_kindred,north_east
171,383,1982,12,4,yes,black,no,no,1.656601814,5.241469057,Manufacturing,Operatives_and_kindred,north_east
172,383,1983,12,5,no,black,no,no,1.725410089,5.614823133,Manufacturing,Clerical_and_kindred,north_east
173,383,1984,12,6,no,black,no,no,1.772158543,5.883539537,Manufacturing,Clerical_and_kindred,north_east
174,383,1985,12,7,no,black,no,no,2.011084234,7.471413721,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
175,383,1986,12,8,no,black,no,no,1.991016671,7.322975038,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
176,383,1987,12,9,no,black,no,no,1.952050703,7.04311612,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
177,408,1980,11,2,no,other,no,no,1.652094923,5.217899482,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
178,408,1981,11,3,no,other,yes,no,1.489534984,4.43503268,Manufacturing,Operatives_and_kindred,north_east
179,408,1982,11,4,no,other,yes,no,1.881175701,6.561214357,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
180,408,1983,11,5,no,other,yes,no,2.061031623,7.854068073,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
181,408,1984,11,6,yes,other,yes,no,2.488836221,12.04724762,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
182,408,1985,11,7,yes,other,yes,no,2.43093808,11.36954262,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
183,408,1986,11,8,yes,other,yes,no,2.534560387,12.61088572,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
184,408,1987,11,9,yes,other,yes,no,2.069602509,7.9216737,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
185,424,1980,12,5,no,other,yes,no,2.16583936,8.721919673,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
186,424,1981,12,6,no,other,yes,no,2.325399771,10.23076923,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
187,424,1982,12,7,no,other,yes,no,2.383650546,10.84441874,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
188,424,1983,12,8,no,other,yes,no,2.33721163,10.35233015,Manufacturing,Operatives_and_kindred,north_east
189,424,1984,12,9,no,other,yes,no,2.412507538,11.16191501,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
190,424,1985,12,10,no,other,yes,no,2.384145919,10.8497921,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
191,424,1986,12,11,no,other,yes,no,2.352030017,10.50687723,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
192,424,1987,12,12,no,other,yes,no,2.577756603,13.16756492,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
193,464,1980,13,2,no,other,no,no,0.972626255,2.64488148,Trade,"Managers, Officials_and_Proprietors",north_east
194,464,1981,13,3,no,other,no,no,1.0031045,2.726733847,Trade,Sales_Workers,north_east
195,464,1982,13,4,no,other,yes,no,1.099635034,3.003069805,Trade,"Managers, Officials_and_Proprietors",north_east
196,464,1983,13,5,no,other,yes,no,1.214584465,3.36889388,Trade,Clerical_and_kindred,north_east
197,464,1984,13,6,no,other,yes,no,1.319241762,3.740584047,Trade,Operatives_and_kindred,north_east
198,464,1985,13,7,no,other,yes,no,1.389742483,4.013816293,Trade,Sales_Workers,north_east
199,464,1986,13,8,no,other,yes,no,1.573538012,4.82368429,Trade,Sales_Workers,north_east
200,464,1987,13,9,no,other,yes,no,1.900699718,6.690574319,Trade,Sales_Workers,north_east
201,483,1980,12,5,no,other,no,no,1.682627076,5.379670226,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
202,483,1981,12,6,no,other,no,no,1.661706341,5.268292683,Manufacturing,"Managers, Officials_and_Proprietors",nothern_central
203,483,1982,12,7,no,other,no,no,1.755041886,5.783689994,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
204,483,1983,12,8,yes,other,no,no,1.753450749,5.774494666,Manufacturing,Laborers_and_farmers,nothern_central
205,483,1984,12,9,no,other,no,no,1.618007863,5.043033889,Manufacturing,Operatives_and_kindred,nothern_central
206,483,1985,12,10,no,other,no,no,1.648178741,5.197505198,Manufacturing,Clerical_and_kindred,nothern_central
207,483,1986,12,11,no,other,no,no,1.745894213,5.731023943,Manufacturing,Operatives_and_kindred,nothern_central
208,483,1987,12,12,no,other,no,no,1.727081895,5.624217882,Manufacturing,Operatives_and_kindred,nothern_central
209,556,1980,14,2,no,other,no,no,1.939345469,6.954197745,Trade,Service_Workers,nothern_central
210,556,1981,14,3,no,other,no,no,2.120263536,8.333333333,Transportation,"Professional, Technical_and_kindred",nothern_central
211,556,1982,14,4,no,other,no,no,2.160506994,8.675534991,Transportation,"Professional, Technical_and_kindred",nothern_central
212,556,1983,14,5,no,other,no,no,2.489254115,12.05228314,Transportation,"Managers, Officials_and_Proprietors",nothern_central
213,556,1984,14,6,no,other,no,no,2.375693565,10.7584723,Transportation,"Professional, Technical_and_kindred",nothern_central
214,556,1985,14,7,no,other,no,no,2.29588671,9.933240013,Transportation,"Managers, Officials_and_Proprietors",nothern_central
215,556,1986,14,8,no,other,no,no,2.299090159,9.965111664,Transportation,"Professional, Technical_and_kindred",nothern_central
216,556,1987,14,9,no,other,no,no,2.581879365,13.22196372,Transportation,"Managers, Officials_and_Proprietors",nothern_central
217,560,1980,12,2,no,other,no,no,1.386847306,4.00221239,Transportation,Service_Workers,NA
218,560,1981,12,3,no,other,no,no,2.127581917,8.394543547,Transportation,Service_Workers,NA
219,560,1982,12,4,no,other,no,no,0.9688702,2.634965793,Transportation,Service_Workers,NA
220,560,1983,12,5,no,other,no,no,1.16359891,3.201434243,Trade,Sales_Workers,NA
221,560,1984,12,6,no,other,no,no,1.356619061,3.883042752,Entertainment,"Professional, Technical_and_kindred",NA
222,560,1985,12,7,no,other,no,no,1.41625335,4.121649099,Business_and_Repair_Service,"Managers, Officials_and_Proprietors",NA
223,560,1986,12,8,yes,other,no,no,1.214983197,3.370237433,Transportation,"Managers, Officials_and_Proprietors",NA
224,560,1987,12,9,no,other,no,no,1.639359464,5.151868497,Entertainment,"Professional, Technical_and_kindred",NA
225,569,1980,12,2,no,other,no,no,0.683725042,1.981244221,Trade,"Managers, Officials_and_Proprietors",nothern_central
226,569,1981,12,3,no,other,no,no,1.078989018,2.941704036,Trade,Sales_Workers,nothern_central
227,569,1982,12,4,no,other,no,no,0.839635719,2.315523322,Trade,"Managers, Officials_and_Proprietors",nothern_central
228,569,1983,12,5,no,other,no,no,1.507569032,4.515739823,Trade,Sales_Workers,nothern_central
229,569,1984,12,6,no,other,no,no,1.020651747,2.775002775,Manufacturing,"Managers, Officials_and_Proprietors",nothern_central
230,569,1985,12,7,no,other,no,no,0.542597783,1.720470471,Trade,Sales_Workers,nothern_central
231,569,1986,12,8,no,other,no,no,0.114716314,1.121555223,Trade,Sales_Workers,nothern_central
232,569,1987,12,9,no,other,no,no,0.312851743,1.367318802,Trade,"Professional, Technical_and_kindred",nothern_central
233,583,1980,12,4,no,other,no,no,1.62677216,5.087426788,Trade,"Managers, Officials_and_Proprietors",nothern_central
234,583,1981,12,5,no,other,no,no,1.880875003,6.559241706,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
235,583,1982,12,6,yes,other,no,no,1.74119648,5.704164257,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
236,583,1983,12,7,yes,other,no,no,2.194788523,8.978102189,Manufacturing,Operatives_and_kindred,nothern_central
237,583,1984,12,8,no,other,yes,no,2.083836121,8.035233997,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
238,583,1985,12,9,no,other,yes,no,1.918448185,6.81038181,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
239,583,1986,12,10,no,other,yes,no,2.156713633,8.642687891,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
240,583,1987,12,11,no,other,no,no,1.985040866,7.279344859,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
241,647,1980,12,2,yes,other,no,no,1.396706272,4.041865215,Manufacturing,Operatives_and_kindred,nothern_central
242,647,1981,12,3,yes,other,yes,no,1.519825754,4.571428571,Manufacturing,Clerical_and_kindred,nothern_central
243,647,1982,12,4,yes,other,yes,no,1.509152973,4.522898155,Manufacturing,Clerical_and_kindred,nothern_central
244,647,1983,12,5,yes,other,yes,no,1.645041618,5.181225537,Manufacturing,Clerical_and_kindred,nothern_central
245,647,1984,12,6,yes,other,no,no,1.549014992,4.70683163,Manufacturing,Clerical_and_kindred,nothern_central
246,647,1985,12,7,yes,other,yes,no,1.826956289,6.214941356,Manufacturing,Clerical_and_kindred,nothern_central
247,647,1986,12,8,yes,other,yes,no,1.883680399,6.577668814,Public_Administration,Clerical_and_kindred,nothern_central
248,647,1987,12,9,yes,other,yes,no,2.023660702,7.565971065,Public_Administration,Clerical_and_kindred,nothern_central
249,658,1980,12,4,yes,other,no,no,1.73141724,5.648653737,Manufacturing,Clerical_and_kindred,nothern_central
250,658,1981,12,5,no,other,no,no,1.813758952,6.133459536,Manufacturing,Clerical_and_kindred,nothern_central
